Month,pred,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95
2028-04-01,333093.38039460045,292924.8121721516,378770.2354059925,260930.92959317288,425212.9106951411,229293.1829906752,483883.5529934359
2028-05-01,344247.5776003476,302053.0631815708,392336.3445993941,268517.4963757462,441335.8395010396,235426.13751546817,503369.7444741925
2028-06-01,347645.932384955,304400.80882774194,397034.7344648388,270098.2604921589,447458.2475414101,236316.97462339792,511421.97675984673
2028-07-01,351369.15017238527,307024.47840089473,402118.68557156855,271919.0354854531,454033.2362993726,237415.04470401004,520018.77070083976
2028-08-01,356705.6948692059,311033.87801956467,409083.9028927885,274950.00135908375,462771.2388549851,239555.04816155892,531147.0316681095
2028-09-01,352427.86772743746,306690.2464637936,404986.4753868893,270623.07925912685,458960.8628020195,235311.66382850672,527833.5970690687
2028-10-01,368272.50063336524,319838.65300833853,424040.7888386653,281717.9560421162,481419.91596189357,244466.88480842713,554777.121772678
2028-11-01,350998.3234034915,304231.6388022165,404954.01305764675,267492.6424853606,460572.7540293171,231659.44603774525,531814.3729480755
2028-12-01,345555.8494055291,298938.243692374,399443.1879423759,262383.4403243921,455092.9163469621,226795.0789544186,526505.4498046475
2029-01-01,342739.6278648825,295931.1649983162,396951.94830063457,259293.99506654224,453039.6181323517,223690.7111688532,525146.7613256657
2029-02-01,319004.5343117619,274921.3470824572,370156.38833219453,240478.8546739686,423171.896129626,207067.9440684636,491451.69895451085
2029-03-01,364702.0511443551,313727.6422815884,423958.7724613629,273970.5413848201,485481.34203259763,235471.40873226908,564856.628772835
2029-04-01,349942.2594753858,300483.7449777129,407541.46276971215,261975.7253781698,467446.3055306525,224750.5603060095,544868.8750764546
